district,stage_name,ndvi_mean,ndvi_std,vel_median,vel_std,bsi_median,bsi_std,lswi_vel_median,lswi_vel_std
Kandy,Reproductive,0.7452000709450727,0.07395614230630089,-0.00699758535,0.07165830992784016,-0.26205225,0.06376422680857698,-0.0065297037,0.04552130644719595
Kandy,Ripening,0.5111419876824325,0.11696385834611893,-0.0972268,0.04503808403400728,-0.0360140475,0.10120829522145061,-0.08986559699999999,0.05044048692740489
Kandy,Transplant,0.4029050648808989,0.09935091905800233,-0.017058969,0.04290029644409617,-0.03492532,0.082901321556038,0.03105919,0.044391387768148285
Kandy,Vegetative,0.5832266111823501,0.13712203923248403,0.069297195,0.05367217236346175,-0.17661211500000001,0.08848561196760306,0.041004099,0.04159594850259573
Kegalle,Harvest,0.6785399822348976,0.07555278247349405,0.0,0.03638906480805702,-0.18592411,0.06511831660115777,0.0,0.027820667479578457
Kegalle,Reproductive,0.7651828539204545,0.05776926094821763,0.0,0.04933971945483176,-0.24851372,0.051318556193353064,0.0,0.0296806014920228
Kegalle,Ripening,0.6369486545205479,0.07811457308207301,-0.041300833,0.02791199050096829,-0.1485808,0.08379789132375111,-0.029867575,0.027810285972549125
Kegalle,Transplant,0.536990890625,0.06772555849135517,-0.016690165,0.03409957747134285,-0.13814681,0.08475906246299987,-0.000324876995,0.027013236597949027
Kegalle,Vegetative,0.6609839937540454,0.08875571834410974,0.05154085,0.03523170476091038,-0.20375107,0.06718277248830903,0.024685591,0.024567364935994235
Kilinochchi,Harvest,0.38252985933394706,0.1374869616511416,-0.0082688405,0.044965555644088835,0.08113364,0.11190722980860728,-0.0075788311,0.04597089527606138
Kilinochchi,Reproductive,0.6094264608260632,0.1146181779729426,0.0,0.06296031147407727,-0.179784355,0.0961985176921119,0.0,0.05789439362217211
Kilinochchi,Ripening,0.3901124980802761,0.12002625144990066,-0.07431123,0.05602121057543962,0.041067652,0.1075545948038992,-0.07896002,0.054846335509361285
Kilinochchi,Transplant,0.23830411515433408,0.08451098483519233,-0.02143135,0.04451932671337395,0.14077984,0.07808800393523037,-0.0019151866,0.05156045901010698
Kilinochchi,Vegetative,0.4514752944989821,0.14954068164432957,0.08956479,0.052845880272652516,-0.0567327405,0.12096913616322555,0.084450785,0.05316334598445662
Kurunegala,Harvest,0.5833737064529186,0.1144040594106593,-0.00086307526,0.05051125618757612,-0.11165188,0.10726907171477179,0.0,0.05215331379961199
Kurunegala,Reproductive,0.6988000509077502,0.08657414788930567,0.0,0.0601343212225184,-0.21596505,0.08320754225999948,-0.0014726222,0.052554019220129464
Kurunegala,Ripening,0.5213721867421529,0.11402413004969582,-0.06090632,0.04641632654443008,-0.041371353,0.1103817835842728,-0.05471076,0.05037701051789666
Kurunegala,Transplant,0.41720496695763565,0.09754125247541255,-0.0256804085,0.04136234486308322,0.020340661500000003,0.10146313886884797,-0.005730863750000001,0.04479224752248594
Kurunegala,Vegetative,0.5704577215876634,0.11971237002020158,0.06540835,0.044134119167431166,-0.13308245,0.10788111137743067,0.05863571,0.04391914280801792
Mannar,Harvest,0.40594777785158637,0.1359376094640586,-0.0081626325,0.04251722097385128,0.041898332499999996,0.11750420259170505,-0.00560020665,0.05026169705161142
Mannar,Reproductive,0.660451638609589,0.11117438903410524,-0.00877323725,0.06798957327661548,-0.20847779,0.10517848537313185,-0.0134041755,0.05187509840305914
Mannar,Ripening,0.433667312460907,0.11872560590562022,-0.07605684,0.05156580876707077,0.005907611,0.10595050593253742,-0.06971247,0.05563379915984132
Mannar,Transplant,0.28263443812989225,0.10321229011041559,-0.022193648,0.0450776432508124,0.0363237785,0.1087960942671031,0.0228640045,0.05766891566861263
